name;Region;division_type
Α' ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;Primary
Β' ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;Primary
Γ' ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;Primary
Δ' ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;Primary
Α' ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;Primary
Β' ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;Primary
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;Primary
Α' ΠΕΙΡΑΙΑ;ΑΤΤΙΚΗΣ;Primary
Β' ΠΕΙΡΑΙΑ;ΑΤΤΙΚΗΣ;Primary
Α' ΘΕΣΣΑΛΟΝΙΚΗΣ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Primary
Β' ΘΕΣΣΑΛΟΝΙΚΗΣ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Primary
ΗΜΑΘΙΑΣ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Primary
ΚΙΛΚΙΣ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Primary
ΠΕΛΛΑΣ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Primary
ΠΙΕΡΙΑΣ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Primary
ΣΕΡΡΩΝ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Primary
ΧΑΛΚΙΔΙΚΗΣ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Primary
Α' ΕΒΡΟΥ;ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ;Primary
Β' ΕΒΡΟΥ;ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ;Primary
Α' ΚΑΒΑΛΑΣ;ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ;Primary
Β' ΚΑΒΑΛΑΣ;ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ;Primary
ΔΡΑΜΑΣ;ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ;Primary
ΞΑΝΘΗΣ;ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ;Primary
ΡΟΔΟΠΗΣ;ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ;Primary
ΓΡΕΒΕΝΩΝ;ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Primary
ΚΑΣΤΟΡΙΑΣ;ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Primary
ΚΟΖΑΝΗΣ;ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Primary
ΦΛΩΡΙΝΑΣ;ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Primary
ΑΡΤΑΣ;ΗΠΕΙΡΟΥ;Primary
ΘΕΣΠΡΩΤΙΑΣ;ΗΠΕΙΡΟΥ;Primary
ΙΩΑΝΝΙΝΩΝ;ΗΠΕΙΡΟΥ;Primary
ΠΡΕΒΕΖΑΣ;ΗΠΕΙΡΟΥ;Primary
Α' ΜΑΓΝΗΣΙΑΣ;ΘΕΣΣΑΛΙΑΣ;Primary
Β' ΜΑΓΝΗΣΙΑΣ;ΘΕΣΣΑΛΙΑΣ;Primary
ΚΑΡΔΙΤΣΑΣ;ΘΕΣΣΑΛΙΑΣ;Primary
ΛΑΡΙΣΑΣ;ΘΕΣΣΑΛΙΑΣ;Primary
ΤΡΙΚΑΛΩΝ;ΘΕΣΣΑΛΙΑΣ;Primary
Α' ΕΥΒΟΙΑΣ;ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ;Primary
Β' ΕΥΒΟΙΑΣ;ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ;Primary
ΒΟΙΩΤΙΑΣ;ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ;Primary
ΕΥΡΥΤΑΝΙΑΣ;ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ;Primary
ΦΘΙΩΤΙΔΑΣ;ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ;Primary
ΦΩΚΙΔΑΣ;ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ;Primary
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ;ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ;Primary
ΑΧΑΙΑΣ;ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ;Primary
ΗΛΕΙΑΣ;ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ;Primary
ΑΡΓΟΛΙΔΑΣ;ΠΕΛΟΠΟΝΝΗΣΟΥ;Primary
ΑΡΚΑΔΙΑΣ;ΠΕΛΟΠΟΝΝΗΣΟΥ;Primary
ΚΟΡΙΝΘΙΑΣ;ΠΕΛΟΠΟΝΝΗΣΟΥ;Primary
ΛΑΚΩΝΙΑΣ;ΠΕΛΟΠΟΝΝΗΣΟΥ;Primary
ΜΕΣΣΗΝΙΑΣ;ΠΕΛΟΠΟΝΝΗΣΟΥ;Primary
Α' ΛΕΣΒΟΥ;ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;Primary
Β' ΛΕΣΒΟΥ;ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;Primary
Α' ΣΑΜΟΥ;ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;Primary
Β' ΣΑΜΟΥ;ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;Primary
ΧΙΟΥ;ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;Primary
Α' ΚΥΚΛΑΔΩΝ;ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;Primary
Β' ΚΥΚΛΑΔΩΝ;ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;Primary
Γ' ΚΥΚΛΑΔΩΝ;ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;Primary
Δ' ΚΥΚΛΑΔΩΝ;ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;Primary
Α' ΔΩΔΕΚΑΝΗΣΟΥ;ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;Primary
Β' ΔΩΔΕΚΑΝΗΣΟΥ;ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;Primary
Γ' ΔΩΔΕΚΑΝΗΣΟΥ;ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;Primary
Δ' ΔΩΔΕΚΑΝΗΣΟΥ;ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;Primary
Α' ΚΕΡΚΥΡΑΣ;ΙΟΝΙΩΝ ΝΗΣΩΝ;Primary
Β' ΚΕΡΚΥΡΑΣ;ΙΟΝΙΩΝ ΝΗΣΩΝ;Primary
Α' ΚΕΦΑΛΛΗΝΙΑΣ;ΙΟΝΙΩΝ ΝΗΣΩΝ;Primary
Β' ΚΕΦΑΛΛΗΝΙΑΣ;ΙΟΝΙΩΝ ΝΗΣΩΝ;Primary
ΖΑΚΥΝΘΟΥ;ΙΟΝΙΩΝ ΝΗΣΩΝ;Primary
ΛΕΥΚΑΔΑΣ;ΙΟΝΙΩΝ ΝΗΣΩΝ;Primary
ΗΡΑΚΛΕΙΟΥ;ΚΡΗΤΗΣ;Primary
ΛΑΣΙΘΙΟΥ;ΚΡΗΤΗΣ;Primary
ΡΕΘΥΜΝΟΥ;ΚΡΗΤΗΣ;Primary
ΧΑΝΙΩΝ;ΚΡΗΤΗΣ;Primary
Α' ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;Secondary
Β' ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;Secondary
Γ' ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;Secondary
Δ' ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;Secondary
Α' ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;Secondary
Β' ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;Secondary
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;Secondary
Α' ΠΕΙΡΑΙΑ (Ηπειρωτική);ΑΤΤΙΚΗΣ;Secondary
Β' ΠΕΙΡΑΙΑ (Νησιά Αργοσαρωνικού);ΑΤΤΙΚΗΣ;Secondary
Γ' ΠΕΙΡΑΙΑ (Κύθηρα - Αντικύθηρα);ΑΤΤΙΚΗΣ;Secondary
Α' ΘΕΣΣΑΛΟΝΙΚΗΣ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Secondary
Β' ΘΕΣΣΑΛΟΝΙΚΗΣ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Secondary
ΗΜΑΘΙΑΣ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Secondary
ΚΙΛΚΙΣ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Secondary
ΠΕΛΛΑΣ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Secondary
ΠΙΕΡΙΑΣ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Secondary
ΣΕΡΡΩΝ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Secondary
ΧΑΛΚΙΔΙΚΗΣ;ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Secondary
Α' ΕΒΡΟΥ (Ηπειρωτικός);ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ;Secondary
Β' ΕΒΡΟΥ (Σαμοθράκη);ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ;Secondary
Α' ΚΑΒΑΛΑΣ (Ηπειρωτική);ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ;Secondary
Β' ΚΑΒΑΛΑΣ (Θάσος);ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ;Secondary
ΔΡΑΜΑΣ;ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ;Secondary
ΞΑΝΘΗΣ;ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ;Secondary
ΡΟΔΟΠΗΣ;ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ;Secondary
ΓΡΕΒΕΝΩΝ;ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Secondary
ΚΑΣΤΟΡΙΑΣ;ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Secondary
ΚΟΖΑΝΗΣ;ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Secondary
ΦΛΩΡΙΝΑΣ;ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ;Secondary
ΑΡΤΑΣ;ΗΠΕΙΡΟΥ;Secondary
ΘΕΣΠΡΩΤΙΑΣ;ΗΠΕΙΡΟΥ;Secondary
ΙΩΑΝΝΙΝΩΝ;ΗΠΕΙΡΟΥ;Secondary
ΠΡΕΒΕΖΑΣ;ΗΠΕΙΡΟΥ;Secondary
Α' ΜΑΓΝΗΣΙΑΣ (Ηπειρωτική);ΘΕΣΣΑΛΙΑΣ;Secondary
Β' ΜΑΓΝΗΣΙΑΣ (Βόρειες Σποράδες);ΘΕΣΣΑΛΙΑΣ;Secondary
ΚΑΡΔΙΤΣΑΣ;ΘΕΣΣΑΛΙΑΣ;Secondary
ΛΑΡΙΣΑΣ;ΘΕΣΣΑΛΙΑΣ;Secondary
ΤΡΙΚΑΛΩΝ;ΘΕΣΣΑΛΙΑΣ;Secondary
Α' ΕΥΒΟΙΑΣ (Κεντρική/Βόρεια);ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ;Secondary
Β' ΕΥΒΟΙΑΣ (Νότια/Σκύρος);ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ;Secondary
ΒΟΙΩΤΙΑΣ;ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ;Secondary
ΕΥΡΥΤΑΝΙΑΣ;ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ;Secondary
ΦΘΙΩΤΙΔΑΣ;ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ;Secondary
ΦΩΚΙΔΑΣ;ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ;Secondary
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ;ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ;Secondary
ΑΧΑΙΑΣ;ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ;Secondary
ΗΛΕΙΑΣ;ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ;Secondary
ΑΡΓΟΛΙΔΑΣ;ΠΕΛΟΠΟΝΝΗΣΟΥ;Secondary
ΑΡΚΑΔΙΑΣ;ΠΕΛΟΠΟΝΝΗΣΟΥ;Secondary
ΚΟΡΙΝΘΙΑΣ;ΠΕΛΟΠΟΝΝΗΣΟΥ;Secondary
ΛΑΚΩΝΙΑΣ;ΠΕΛΟΠΟΝΝΗΣΟΥ;Secondary
ΜΕΣΣΗΝΙΑΣ;ΠΕΛΟΠΟΝΝΗΣΟΥ;Secondary
Α' ΛΕΣΒΟΥ (Νησί Λέσβος);ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;Secondary
Β' ΛΕΣΒΟΥ (Λήμνος);ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;Secondary
Γ' ΛΕΣΒΟΥ (Άγιος Ευστράτιος);ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;Secondary
Α' ΣΑΜΟΥ (Νησί Σάμος);ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;Secondary
Β' ΣΑΜΟΥ (Ικαρία);ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;Secondary
Γ' ΣΑΜΟΥ (Φούρνοι);ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;Secondary
Α' ΧΙΟΥ (Νησί Χίος);ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;Secondary
Β' ΧΙΟΥ (Ψαρά - Οινούσσες);ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ;Secondary
Α' ΚΥΚΛΑΔΩΝ (Σύρος, Τήνος, Άνδρος, Μύκονος);ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;Secondary
Β' ΚΥΚΛΑΔΩΝ (Σαντορίνη, Ίος κ.α.);ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;Secondary
Γ' ΚΥΚΛΑΔΩΝ (Νάξος, Αμοργός κ.α.);ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;Secondary
Δ' ΚΥΚΛΑΔΩΝ (Πάρος, Μήλος κ.α.);ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;Secondary
Α' ΔΩΔΕΚΑΝΗΣΟΥ (Ρόδος κ.α.);ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;Secondary
Β' ΔΩΔΕΚΑΝΗΣΟΥ (Κως, Νίσυρος);ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;Secondary
Γ' ΔΩΔΕΚΑΝΗΣΟΥ (Κάλυμνος, Λέρος, Πάτμος);ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;Secondary
Δ' ΔΩΔΕΚΑΝΗΣΟΥ (Κάρπαθος, Κάσος);ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ;Secondary
Α' ΚΕΡΚΥΡΑΣ (Νησί Κέρκυρα);ΙΟΝΙΩΝ ΝΗΣΩΝ;Secondary
Β' ΚΕΡΚΥΡΑΣ (Παξοί);ΙΟΝΙΩΝ ΝΗΣΩΝ;Secondary
Α' ΚΕΦΑΛΛΗΝΙΑΣ (Νησί Κεφαλονιά);ΙΟΝΙΩΝ ΝΗΣΩΝ;Secondary
Β' ΚΕΦΑΛΛΗΝΙΑΣ (Ιθάκη);ΙΟΝΙΩΝ ΝΗΣΩΝ;Secondary
ΖΑΚΥΝΘΟΥ;ΙΟΝΙΩΝ ΝΗΣΩΝ;Secondary
ΛΕΥΚΑΔΑΣ;ΙΟΝΙΩΝ ΝΗΣΩΝ;Secondary
ΗΡΑΚΛΕΙΟΥ;ΚΡΗΤΗΣ;Secondary
ΛΑΣΙΘΙΟΥ;ΚΡΗΤΗΣ;Secondary
ΡΕΘΥΜΝΟΥ;ΚΡΗΤΗΣ;Secondary
ΧΑΝΙΩΝ;ΚΡΗΤΗΣ;Secondary